X,Y,Z,name,temp,err
7858.0,6006.0,6987.0,PRM-6,87.6061969360301,0.0012230552180181207
1452.0,166.0,1200.0,1-I,88.41247522677162,0.0046343692796962975
1470.0,186.0,7223.0,1-U,87.60733565446738,0.0013377329272203195
3700.0,186.0,7438.0,1-M,87.61307554549654,0.0011129559686774973
1452.0,179.0,5270.0,2-I,102.1953288614665,0.004910500811181704
1470.0,186.0,5184.0,2-U,87.60816918268551,0.0018627191437975451
5930.0,186.0,5399.0,2-M,87.60463532705181,0.0012309391658131
1452.0,183.0,3250.0,3-I,88.3648502690416,0.006744949033349024
1470.0,186.0,3164.0,3-U,87.60733714179719,0.0015769963057923838
3700.0,86.0,3279.0,3-M,87.60317872355265,0.0021326831509764685
1452.0,166.0,1200.0,4-I,88.37669650199686,0.006564989809330982
1470.0,186.0,1114.0,4-U,87.60412979376864,0.0016672768865254352
5930.0,186.0,1329.0,4-M,87.6055625909409,0.0014414240973697784
8545.0,257.0,2240.0,PP2,87.59998317369792,0.001163299187687856
8545.0,257.0,2340.0,PP1,87.60010699003256,0.0013458735592092026
